trend_72_12_start,trend_82_12_start,trend_92_12_start,trend_02_12_start,trend_end,Site_no,paramShortName,trend_72_12,trend_82_12,trend_92_12,trend_02_12,station_nm,Gage_number,shortName,staAbbrev,constitAbbrev,drainSqKm,paStart,paLong,windowY,windowQ,windowS,minNumObs,minNumUncen,edgeAdjust,bootBreak,blockLength,nBoot,qUnit,agency_cd,site_tp_cd,dec_lat_va,dec_long_va,dec_coord_datum_cd,state_cd,country_cd,huc_cd,drain_area_va,contrib_drain_area_va,param_nm,param_units,paramNumber,blank_start1,blank_end1,blank_start2,blank_end2
,,1992,,2012,01112900,Ammonia,N,N,Y,N,"BLACKSTONE RIVER AT MANVILLE, RI",01112500,"BLACKSTONE RIVER AT MANVILLE, RI",RI,NH4,1088.7,10,12,7,2,0.5,100,157.5,TRUE,100,100,100,1,,ST,41.9712097,-71.47006,NAD83,RI,US,01090003,,,Ammonia,mg/l as N,,10/01/1971,09/30/1991,,
,,1992,,2012,01112900,Nitrite plus nitrate,N,N,Y,N,"BLACKSTONE RIVER AT MANVILLE, RI",01112500,"BLACKSTONE RIVER AT MANVILLE, RI",RI,NO23,1088.7,10,12,7,2,0.5,100,158,TRUE,100,100,100,1,,ST,41.9712097,-71.47006,NAD83,RI,US,01090003,,,Nitrite plus nitrate,mg/l as N,,10/01/1971,09/30/1991,,
,,1992,,2012,01112900,Total Nitrogen,N,N,Y,N,"BLACKSTONE RIVER AT MANVILLE, RI",01112500,"BLACKSTONE RIVER AT MANVILLE, RI",RI,TN,1088.7,10,12,7,2,0.5,100,157.5,TRUE,100,100,100,1,,ST,41.9712097,-71.47006,NAD83,RI,US,01090003,,,Total Nitrogen,mg/l as N,,10/01/1971,09/30/1991,,
,,1992,,2012,01112900,Total Phosphorus,N,N,Y,N,"BLACKSTONE RIVER AT MANVILLE, RI",01112500,"BLACKSTONE RIVER AT MANVILLE, RI",RI,TP,1088.7,10,12,7,2,0.5,100,157.5,TRUE,100,100,100,1,,ST,41.9712097,-71.47006,NAD83,RI,US,01090003,,,Total Phosphorus,mg/l as P,,10/01/1971,09/30/1991,,
,1982,1992,,2012,01118500,Ammonia,N,Y,Y,N,"PAWCATUCK RIVER AT WESTERLY, RI",01118500,"PAWCATUCK RIVER AT WESTERLY, RI",RI,NH4,766,10,12,7,2,0.5,100,182,TRUE,100,100,100,1,,ST,41.38371056,-71.8331247,NAD83,RI,US,01090005,,,Ammonia,mg/l as N,,10/01/1971,09/30/1981,,
,1982,1992,,2012,01118500,Nitrite plus nitrate,N,Y,Y,N,"PAWCATUCK RIVER AT WESTERLY, RI",01118500,"PAWCATUCK RIVER AT WESTERLY, RI",RI,NO23,766,10,12,7,2,0.5,100,182,TRUE,100,100,100,1,,ST,41.38371056,-71.8331247,NAD83,RI,US,01090005,,,Nitrite plus nitrate,mg/l as N,,10/01/1971,09/30/1981,,
,1982,1992,,2012,01118500,"Orthophosphate, filtered",N,Y,Y,N,"PAWCATUCK RIVER AT WESTERLY, RI",01118500,"PAWCATUCK RIVER AT WESTERLY, RI",RI,OrthoP_F,766,10,12,7,2,0.5,100,108.5,TRUE,100,100,100,1,,ST,41.38371056,-71.8331247,NAD83,RI,US,01090005,,,"Orthophosphate, filtered",mg/l as P,,10/01/1971,09/30/1981,,
,1982,1992,,2012,01118500,Total Nitrogen,N,Y,Y,N,"PAWCATUCK RIVER AT WESTERLY, RI",01118500,"PAWCATUCK RIVER AT WESTERLY, RI",RI,TN,766,10,12,7,2,0.5,100,181,TRUE,100,100,100,1,,ST,41.38371056,-71.8331247,NAD83,RI,US,01090005,,,Total Nitrogen,mg/l as N,,10/01/1971,09/30/1981,,
,1982,1992,,2012,01118500,Total Phosphorus,N,Y,Y,N,"PAWCATUCK RIVER AT WESTERLY, RI",01118500,"PAWCATUCK RIVER AT WESTERLY, RI",RI,TP,766,10,12,7,2,0.5,100,182,TRUE,100,100,100,1,,ST,41.38371056,-71.8331247,NAD83,RI,US,01090005,,,Total Phosphorus,mg/l as P,,10/01/1971,09/30/1981,,
,1982,1992,2002,2012,01122610,Ammonia,N,Y,Y,Y,"SHETUCKET R AT SOUTH WINDHAM, CT",01122500,"SHETUCKET R AT SOUTH WINDHAM, CT",CT,NH4,1072.9,10,12,7,2,0.5,100,220,TRUE,100,100,100,1,,ST,41.6823208,-72.1659111,NAD83,CT,US,01100002,,,Ammonia,mg/l as N,,10/01/1971,09/30/1981,,
,1982,1992,2002,2012,01122610,Nitrite plus nitrate,N,Y,Y,Y,"SHETUCKET R AT SOUTH WINDHAM, CT",01122500,"SHETUCKET R AT SOUTH WINDHAM, CT",CT,NO23,1072.9,10,12,7,2,0.5,100,220,TRUE,100,100,100,1,,ST,41.6823208,-72.1659111,NAD83,CT,US,01100002,,,Nitrite plus nitrate,mg/l as N,,10/01/1971,09/30/1981,,
,1982,1992,2002,2012,01122610,"Orthophosphate, filtered",N,Y,Y,Y,"SHETUCKET R AT SOUTH WINDHAM, CT",01122500,"SHETUCKET R AT SOUTH WINDHAM, CT",CT,OrthoP_F,1072.9,10,12,7,2,0.5,100,146.5,TRUE,100,100,100,1,,ST,41.6823208,-72.1659111,NAD83,CT,US,01100002,,,"Orthophosphate, filtered",mg/l as P,,10/01/1971,09/30/1981,,
,1982,1992,2002,2012,01122610,Total Nitrogen,N,Y,Y,Y,"SHETUCKET R AT SOUTH WINDHAM, CT",01122500,"SHETUCKET R AT SOUTH WINDHAM, CT",CT,TN,1072.9,10,12,7,2,0.5,100,219,TRUE,100,100,100,1,,ST,41.6823208,-72.1659111,NAD83,CT,US,01100002,,,Total Nitrogen,mg/l as N,,10/01/1971,09/30/1981,,
,1982,1992,2002,2012,01122610,Total Phosphorus,N,Y,Y,Y,"SHETUCKET R AT SOUTH WINDHAM, CT",01122500,"SHETUCKET R AT SOUTH WINDHAM, CT",CT,TP,1072.9,10,12,7,2,0.5,100,220,TRUE,100,100,100,1,,ST,41.6823208,-72.1659111,NAD83,CT,US,01100002,,,Total Phosphorus,mg/l as P,,10/01/1971,09/30/1981,,
,1982,1992,2002,2012,01124000,Ammonia,N,Y,Y,Y,"QUINEBAUG RIVER AT QUINEBAUG, CT.",01124000,"QUINEBAUG RIVER AT QUINEBAUG, CT.",CT,NH4,392.5,10,12,7,2,0.5,100,174,TRUE,100,100,100,1,,ST,42.02231889,-71.95562889,NAD83,CT,US,01100001,,,Ammonia,mg/l as N,,10/01/1971,09/30/1981,,
,1982,1992,2002,2012,01124000,Nitrite plus nitrate,N,Y,Y,Y,"QUINEBAUG RIVER AT QUINEBAUG, CT.",01124000,"QUINEBAUG RIVER AT QUINEBAUG, CT.",CT,NO23,392.5,10,12,7,2,0.5,100,174,TRUE,100,100,100,1,,ST,42.02231889,-71.95562889,NAD83,CT,US,01100001,,,Nitrite plus nitrate,mg/l as N,,10/01/1971,09/30/1981,,
,,1993,2002,2012,01124000,"Orthophosphate, filtered",N,N,Y,Y,"QUINEBAUG RIVER AT QUINEBAUG, CT.",01124000,"QUINEBAUG RIVER AT QUINEBAUG, CT.",CT,OrthoP_F,392.5,10,12,7,2,0.5,100,107,TRUE,100,100,100,1,,ST,42.02231889,-71.95562889,NAD83,CT,US,01100001,,,"Orthophosphate, filtered",mg/l as P,,10/01/1971,09/30/1991,,
,1982,,2002,2012,01124000,Total Nitrogen,N,Y,N,Y,"QUINEBAUG RIVER AT QUINEBAUG, CT.",01124000,"QUINEBAUG RIVER AT QUINEBAUG, CT.",CT,TN,392.5,10,12,7,2,0.5,100,172,TRUE,100,100,100,1,,ST,42.02231889,-71.95562889,NAD83,CT,US,01100001,,,Total Nitrogen,mg/l as N,,10/01/1971,09/30/1981,10/01/1991,09/30/2001
,1982,1992,2002,2012,01124000,Total Phosphorus,N,Y,Y,Y,"QUINEBAUG RIVER AT QUINEBAUG, CT.",01124000,"QUINEBAUG RIVER AT QUINEBAUG, CT.",CT,TP,392.5,10,12,7,2,0.5,100,174,TRUE,100,100,100,1,,ST,42.02231889,-71.95562889,NAD83,CT,US,01100001,,,Total Phosphorus,mg/l as P,,10/01/1971,09/30/1981,,
,,,2003,2012,01125100,Ammonia,N,N,N,Y,"FRENCH R AT N GROSVENORDALE, CT.",01125100,"FRENCH R AT N GROSVENORDALE, CT.",CT,NH4,264.6,10,12,7,2,0.5,60,40,TRUE,100,100,100,1,,ST,41.97815,-71.90035,NAD83,CT,US,01100001,,,Ammonia,mg/l as N,,10/01/1971,09/30/2001,,
,,,2003,2012,01125100,Nitrite plus nitrate,N,N,N,Y,"FRENCH R AT N GROSVENORDALE, CT.",01125100,"FRENCH R AT N GROSVENORDALE, CT.",CT,NO23,264.6,10,12,7,2,0.5,60,40,TRUE,100,100,100,1,,ST,41.97815,-71.90035,NAD83,CT,US,01100001,,,Nitrite plus nitrate,mg/l as N,,10/01/1971,09/30/2001,,
,,,2003,2012,01125100,"Orthophosphate, filtered",N,N,N,Y,"FRENCH R AT N GROSVENORDALE, CT.",01125100,"FRENCH R AT N GROSVENORDALE, CT.",CT,OrthoP_F,264.6,10,12,7,2,0.5,60,40,TRUE,100,100,100,1,,ST,41.97815,-71.90035,NAD83,CT,US,01100001,,,"Orthophosphate, filtered",mg/l as P,,10/01/1971,09/30/2001,,
,,,2003,2012,01125100,Total Nitrogen,N,N,N,Y,"FRENCH R AT N GROSVENORDALE, CT.",01125100,"FRENCH R AT N GROSVENORDALE, CT.",CT,TN,264.6,10,12,7,2,0.5,60,40,TRUE,100,100,100,1,,ST,41.97815,-71.90035,NAD83,CT,US,01100001,,,Total Nitrogen,mg/l as N,,10/01/1971,09/30/2001,,
,,,2003,2012,01125100,Total Phosphorus,N,N,N,Y,"FRENCH R AT N GROSVENORDALE, CT.",01125100,"FRENCH R AT N GROSVENORDALE, CT.",CT,TP,264.6,10,12,7,2,0.5,60,40,TRUE,100,100,100,1,,ST,41.97815,-71.90035,NAD83,CT,US,01100001,,,Total Phosphorus,mg/l as P,,10/01/1971,09/30/2001,,
1973,1982,1992,2002,2012,01127000,Ammonia,Y,Y,Y,Y,"QUINEBAUG RIVER AT JEWETT CITY, CT.",01127000,"QUINEBAUG RIVER AT JEWETT CITY, CT.",CT,NH4,1839.6,10,12,7,2,0.5,100,228,TRUE,100,100,100,1,,ST,41.5978761,-71.9842417,NAD83,CT,US,01100001,,,Ammonia,mg/l as N,,,,,
1973,1982,1992,2002,2012,01127000,Nitrite plus nitrate,Y,Y,Y,Y,"QUINEBAUG RIVER AT JEWETT CITY, CT.",01127000,"QUINEBAUG RIVER AT JEWETT CITY, CT.",CT,NO23,1839.6,10,12,7,2,0.5,100,228.5,TRUE,100,100,100,1,,ST,41.5978761,-71.9842417,NAD83,CT,US,01100001,,,Nitrite plus nitrate,mg/l as N,,,,,
,1982,1993,2002,2012,01127000,"Orthophosphate, filtered",N,Y,Y,Y,"QUINEBAUG RIVER AT JEWETT CITY, CT.",01127000,"QUINEBAUG RIVER AT JEWETT CITY, CT.",CT,OrthoP_F,1839.6,10,12,7,2,0.5,100,140.5,TRUE,100,100,100,1,,ST,41.5978761,-71.9842417,NAD83,CT,US,01100001,,,"Orthophosphate, filtered",mg/l as P,,10/01/1971,09/30/1981,,
1973,1982,,2002,2012,01127000,Total Nitrogen,Y,Y,N,Y,"QUINEBAUG RIVER AT JEWETT CITY, CT.",01127000,"QUINEBAUG RIVER AT JEWETT CITY, CT.",CT,TN,1839.6,10,12,7,2,0.5,100,226.5,TRUE,100,100,100,1,,ST,41.5978761,-71.9842417,NAD83,CT,US,01100001,,,Total Nitrogen,mg/l as N,,10/01/1991,09/30/2001,,
1972,1982,1992,2002,2012,01127000,Total Phosphorus,Y,Y,Y,Y,"QUINEBAUG RIVER AT JEWETT CITY, CT.",01127000,"QUINEBAUG RIVER AT JEWETT CITY, CT.",CT,TP,1839.6,10,12,7,2,0.5,100,250.5,TRUE,100,100,100,1,,ST,41.5978761,-71.9842417,NAD83,CT,US,01100001,,,Total Phosphorus,mg/l as P,,,,,
1973,1982,1992,2002,2012,01184000,Ammonia,Y,Y,Y,Y,"CONNECTICUT RIVER AT THOMPSONVILLE, CT.",01184000,"CONNECTICUT RIVER AT THOMPSONVILLE, CT.",CT,NH4,25012.1,10,12,7,2,0.5,100,280.5,TRUE,100,100,100,1,,ST,41.9873186,-72.6053669,NAD83,CT,US,01080205,,,Ammonia,mg/l as N,,,,,
1973,1982,1992,2002,2012,01184000,Nitrite plus nitrate,Y,Y,Y,Y,"CONNECTICUT RIVER AT THOMPSONVILLE, CT.",01184000,"CONNECTICUT RIVER AT THOMPSONVILLE, CT.",CT,NO23,25012.1,10,12,7,2,0.5,100,280.5,TRUE,100,100,100,1,,ST,41.9873186,-72.6053669,NAD83,CT,US,01080205,,,Nitrite plus nitrate,mg/l as N,,,,,
,1982,1992,2002,2012,01184000,"Orthophosphate, filtered",N,Y,Y,Y,"CONNECTICUT RIVER AT THOMPSONVILLE, CT.",01184000,"CONNECTICUT RIVER AT THOMPSONVILLE, CT.",CT,OrthoP_F,25012.1,10,12,7,2,0.5,100,194,TRUE,100,100,100,1,,ST,41.9873186,-72.6053669,NAD83,CT,US,01080205,,,"Orthophosphate, filtered",mg/l as P,,10/01/1971,09/30/1981,,
1973,1982,1992,2002,2012,01184000,Total Nitrogen,Y,Y,Y,Y,"CONNECTICUT RIVER AT THOMPSONVILLE, CT.",01184000,"CONNECTICUT RIVER AT THOMPSONVILLE, CT.",CT,TN,25012.1,10,12,7,2,0.5,100,277.5,TRUE,100,100,100,1,,ST,41.9873186,-72.6053669,NAD83,CT,US,01080205,,,Total Nitrogen,mg/l as N,,,,,
1973,1982,1992,2002,2012,01184000,Total Phosphorus,Y,Y,Y,Y,"CONNECTICUT RIVER AT THOMPSONVILLE, CT.",01184000,"CONNECTICUT RIVER AT THOMPSONVILLE, CT.",CT,TP,25012.1,10,12,7,2,0.5,100,293.5,TRUE,100,100,100,1,,ST,41.9873186,-72.6053669,NAD83,CT,US,01080205,,,Total Phosphorus,mg/l as P,,,,,
1973,1982,1992,2002,2012,01188000,Nitrite plus nitrate,Y,Y,Y,Y,"BURLINGTON BROOK NEAR BURLINGTON, CT.",01188000,"BURLINGTON BROOK NEAR BURLINGTON, CT.",CT,NO23,10.5,10,12,7,2,0.5,100,137,TRUE,100,100,100,1,,ST,41.78620889,-72.9648261,NAD83,CT,US,01080207,,,Nitrite plus nitrate,mg/l as N,,,,,
,,,2002,2012,01188000,"Orthophosphate, filtered",N,N,N,Y,"BURLINGTON BROOK NEAR BURLINGTON, CT.",01188000,"BURLINGTON BROOK NEAR BURLINGTON, CT.",CT,OrthoP_F,10.5,10,12,7,2,0.5,100,67,TRUE,100,100,100,1,,ST,41.78620889,-72.9648261,NAD83,CT,US,01080207,,,"Orthophosphate, filtered",mg/l as P,,10/01/1971,09/30/2001,,
1973,1982,,2002,2012,01188000,Total Nitrogen,Y,Y,N,Y,"BURLINGTON BROOK NEAR BURLINGTON, CT.",01188000,"BURLINGTON BROOK NEAR BURLINGTON, CT.",CT,TN,10.5,10,12,7,2,0.5,100,130.5,TRUE,100,100,100,1,,ST,41.78620889,-72.9648261,NAD83,CT,US,01080207,,,Total Nitrogen,mg/l as N,,10/01/1991,09/30/2001,,
,,1992,2002,2012,01188090,Ammonia,N,N,Y,Y,"FARMINGTON RIVER AT UNIONVILLE, CT.",01188090,"FARMINGTON RIVER AT UNIONVILLE, CT.",CT,NH4,978.6,10,12,7,2,0.5,81.75,54.5,TRUE,100,100,100,1,,ST,41.7559325,-72.88676778,NAD83,CT,US,01080207,,,Ammonia,mg/l as N,,10/01/1971,09/30/1991,,
,,1992,2002,2012,01188090,Nitrite plus nitrate,N,N,Y,Y,"FARMINGTON RIVER AT UNIONVILLE, CT.",01188090,"FARMINGTON RIVER AT UNIONVILLE, CT.",CT,NO23,978.6,10,12,7,2,0.5,81.75,54.5,TRUE,100,100,100,1,,ST,41.7559325,-72.88676778,NAD83,CT,US,01080207,,,Nitrite plus nitrate,mg/l as N,,10/01/1971,09/30/1991,,
